codigo,reverso,Tipo
0,127,NFe
1,127,NFe Evento
2,127,
3,127,
4,127,
5,127,NFCe
6,127,NFCe Evento
7,127,
8,127,
9,127,
10,127,CTe
11,127,CTe Evento
12,127,
13,127,
14,127,
15,127,MDFe
16,127,MDFe Evento
17,127,
18,127,
19,127,
20,127,
21,127,
22,127,
23,127,
24,127,
25,127,
26,127,
27,127,
28,127,
29,127,
30,127,
31,127,
32,127,EFD
33,127,
34,127,
35,127,
36,127,PGDASD
37,127,
38,127,
39,127,
40,127,
41,127,
42,127,
43,127,
44,127,
45,127,
46,127,
47,127,
48,127,
49,127,
50,127,
51,127,
52,127,
53,127,
54,127,
55,127,
56,127,
57,127,
58,127,
59,127,
60,127,
61,127,
62,127,
63,127,
64,127,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,
